Date,Close
3/30/2012 15:30:00,5295.55
4/2/2012 15:30:00,5317.9
4/3/2012 15:30:00,5358.5
4/4/2012 15:30:00,5322.9
4/9/2012 15:30:00,5234.4
4/10/2012 15:30:00,5243.6
4/11/2012 15:30:00,5226.85
4/12/2012 15:30:00,5276.85
4/13/2012 15:30:00,5207.45
4/16/2012 15:30:00,5226.2
4/17/2012 15:30:00,5289.7
4/18/2012 15:30:00,5300
4/19/2012 15:30:00,5332.4
4/20/2012 15:30:00,5290.85
4/23/2012 15:30:00,5200.6
4/24/2012 15:30:00,5222.65
4/25/2012 15:30:00,5202
4/26/2012 15:30:00,5189
4/27/2012 15:30:00,5190.6
4/30/2012 15:30:00,5248.15
5/2/2012 15:30:00,5239.15
5/3/2012 15:30:00,5188.4
5/4/2012 15:30:00,5086.85
5/7/2012 15:30:00,5114.15
5/8/2012 15:30:00,4999.95
5/9/2012 15:30:00,4974.8
5/10/2012 15:30:00,4965.7
5/11/2012 15:30:00,4928.9
5/14/2012 15:30:00,4907.8
5/15/2012 15:30:00,4942.8
5/16/2012 15:30:00,4858.25
5/17/2012 15:30:00,4870.2
5/18/2012 15:30:00,4891.45
5/21/2012 15:30:00,4906.05
5/22/2012 15:30:00,4860.5
5/23/2012 15:30:00,4835.65
5/24/2012 15:30:00,4921.4
5/25/2012 15:30:00,4920.4
5/28/2012 15:30:00,4985.65
5/29/2012 15:30:00,4990.1
5/30/2012 15:30:00,4950.75
5/31/2012 15:30:00,4924.25
6/1/2012 15:30:00,4841.6
6/4/2012 15:30:00,4848.15
6/5/2012 15:30:00,4863.3
6/6/2012 15:30:00,4997.1
6/7/2012 15:30:00,5049.65
6/8/2012 15:30:00,5068.35
6/11/2012 15:30:00,5054.1
6/12/2012 15:30:00,5115.9
6/13/2012 15:30:00,5121.45
6/14/2012 15:30:00,5054.75
6/15/2012 15:30:00,5139.05
6/18/2012 15:30:00,5064.25
6/19/2012 15:30:00,5103.85
6/20/2012 15:30:00,5120.55
6/21/2012 15:30:00,5165
6/22/2012 15:30:00,5146.05
6/25/2012 15:30:00,5114.65
6/26/2012 15:30:00,5120.8
6/27/2012 15:30:00,5141.9
6/28/2012 15:30:00,5149.15
6/29/2012 15:30:00,5278.9
7/2/2012 15:30:00,5278.6
7/3/2012 15:30:00,5287.95
